Sorting Performance on Reversed Data
Input Size	Insertion Sort	Merge Sort	Counting Sort
500	0.018012499999999997	0.0246169	67.7300375
1000	0.0526459	0.053920800000000005	68.36521259999999
2000	0.1899208	0.1082542	67.8549167
4000	0.7479251	0.2638083	69.1835291
8000	2.9434747999999997	0.5243167000000001	68.2299668
16000	10.3915915	1.0900583000000001	67.8361002
32000	45.66775409999999	2.1982459	68.41072500000001
64000	196.54499990000002	4.683841599999999	72.0416128
128000	788.6676084	10.8670669	81.7488084
250000	2652.4164459	21.4461751	74.05050429999999
