Sorting Performance on Sorted Data
Input Size	Insertion Sort	Merge Sort	Counting Sort
500	0.0154331	0.025250100000000004	68.6660418
1000	0.05737110000000001	0.052141599999999996	67.8384916
2000	0.2117166	0.11389589999999998	68.27601669999999
4000	0.7887333000000001	0.24499999999999997	67.9380583
8000	3.0632582999999998	0.4969707999999999	67.6924458
16000	13.258467000000001	1.0575836	68.7195834
32000	48.5280542	2.1357916	68.4542791
64000	192.4759665	4.69615	68.9974002
128000	806.2907708	9.8317792	74.32052929999999
250000	3386.7664665	21.6143624	82.8969127
