Sorting Performance on Random Data
Input Size	Insertion Sort	Comb Sort	Radix Sort	Shell Sort	Shaker Sort
500	0.1528627	0.1192917	0.42878750000000004	0.13729580000000002	0.34662509999999996
1000	0.048329199999999996	0.05184160000000001	0.5102334000000001	0.0713083	0.5662457
2000	0.18277939999999998	0.0539	0.8128124999999999	0.09128739999999999	1.1735834
4000	0.6977375	0.1555833	1.6499082	0.23182070000000005	4.7562041
8000	2.7149249	0.3433167	3.3398211000000004	0.5231999	18.858591499999996
16000	11.6997374	0.6770043	6.6796666	1.1080460000000003	85.10051680000001
32000	42.3976623	1.4308333000000002	13.340574799999999	2.513204	306.9281626
64000	168.23413730000001	3.0704455999999998	26.185737400000004	5.6285747	1172.0797208
128000	714.1091710000001	6.446145899999999	52.80734149999999	12.560145799999999	4785.663187499999
250000	3045.934071	13.271533199999999	102.64419149999999	23.523604000000002	33377.2072417
