Sorting Performance on Sorted Data
Input Size	Insertion Sort	Comb Sort	Radix Sort	Shell Sort	Shaker Sort
500	0.010562499999999999	0.0055668	0.2080708	0.009104200000000003	0.0672291
1000	0.04896659999999999	0.0190542	0.4158041	0.0342166	0.3245959
2000	0.1794041	0.0516875	0.8140417	0.09373329999999999	1.1626623
4000	0.7071833000000001	0.148425	1.6762042000000001	0.23289560000000004	5.125874999999999
8000	2.6899375	0.3439083	3.3315414	0.5142000999999999	19.0789042
16000	11.638845799999999	0.6700790999999999	6.6442207	1.1092878000000002	85.99809159999998
32000	42.378812800000006	1.4218585999999998	13.188874900000002	2.4769165	309.5972418999999
64000	167.7204667	3.0804669000000002	26.5041831	5.6261749000000005	1178.1080582
128000	716.4769917	6.441779100000001	52.8237166	12.571195999999999	4812.985491799999
250000	3040.0776168	13.2419624	102.96618760000001	23.3636999	33570.479391400004
