Sorting Performance on Reversed Data
Input Size	Insertion Sort	Comb Sort	Radix Sort	Shell Sort	Shaker Sort
500	0.012295799999999997	0.005874899999999999	0.20978739999999996	0.009195700000000001	0.0947207
1000	0.0432917	0.018287699999999997	0.4174919	0.027125099999999996	0.2830458
2000	0.161229	0.04165419999999999	0.8218626	0.083171	1.1085751
4000	0.6584125999999999	0.15115439999999997	1.6537916999999998	0.23726280000000002	4.4852042
8000	2.5704000000000002	0.3443918	3.3505541	0.5273502	17.928983199999998
16000	9.2423793	0.6716167	6.6299957	1.1391	64.3974039
32000	39.85872500000001	1.4238874	13.273779	2.4833208	290.54206669999996
64000	169.9905667	3.061421	26.5630001	5.534778999999999	1155.3271375
128000	680.0417334000001	6.4253957	52.9554707	12.724112700000001	4553.9176958
250000	2368.0974290999998	13.3195627	103.57879170000001	23.5657084	25093.185995800002
