Sorting Performance on Random Data
Input Size	Insertion Sort	Merge Sort	Counting Sort
500	0.1533542	0.10843749999999999	93.81931260000002
1000	0.05993320000000002	0.058721	71.0579749
2000	0.22961240000000002	0.14275430000000003	83.31797920000001
4000	0.7939668	0.2572542	67.6012625
8000	3.0732166000000003	0.5237248	67.2945624
16000	13.115808199999998	1.0536122	67.7522207
32000	49.2790875	2.2228669000000005	68.9126127
64000	193.09296239999998	4.676679200000001	68.72665409999999
128000	804.626654	10.0504625	69.7498624
250000	3383.5742583	25.9191416	146.297475
