Sorting Performance on Random Data
Input Size	Insertion Sort	Merge Sort	Counting Sort
500	0.14357910000000002	0.0941041	62.717208400000004
1000	0.049275	0.05312919999999999	59.2839997
2000	0.1733583	0.09282919999999999	57.8669833
4000	0.6490583	0.2056123	57.765699999999995
8000	2.6896622000000003	0.4372584	59.147916800000004
16000	11.542054100000001	0.8963794	57.476895999999996
32000	42.5609333	1.9184334999999997	58.343774999999994
64000	168.13081240000002	4.11165	57.9811374
128000	715.0038417000001	8.727329000000001	60.08214179999999
250000	3024.4430294	17.7680833	62.3189834
