Sorting Performance on Sorted Data
Input Size	Insertion Sort	Merge Sort	Counting Sort
500	0.012170699999999998	0.019662600000000002	59.115391599999995
1000	0.0466709	0.037441600000000005	58.832116500000005
2000	0.1783625	0.0893041	59.3036167
4000	0.6795249999999999	0.19253740000000003	58.43645819999999
8000	2.6891542999999998	0.4201499	59.53002919999999
16000	11.574379299999999	0.8893874	59.7915541
32000	42.5212001	1.8789832999999998	60.208412499999994
64000	169.55396259999998	4.0625293	61.477921
128000	715.3617	8.502804000000001	62.188178900000004
250000	3029.2767667	17.3846752	63.4274
