Sorting Performance on Reversed Data
Input Size	Insertion Sort	Merge Sort	Counting Sort
500	0.015295999999999999	0.023475	60.50997909999999
1000	0.047375	0.0455126	60.13230420000001
2000	0.16761660000000003	0.0970499	59.793296100000006
4000	0.6501043	0.2003834	60.24168740000001
8000	2.6025833	0.4392873	60.754721
16000	9.166179199999998	0.8821290999999999	60.416224899999996
32000	39.997941499999996	1.8494124999999997	61.1946542
64000	171.355075	4.0326377	61.5748959
128000	680.1596956999999	8.4657084	62.07556250000001
250000	2357.9752959	17.494041499999998	64.2822831
